cod_percorso;data;num_schede;stato_cons
20240130;0500121301;1;1
20240131;0500121301;1;1
20240201;0500121301;1;1
20240202;0500121301;1;1
20240203;0500121301;1;1
20240205;0500121301;1;1
20240207;0500121301;1;1
20240208;0500121301;1;1
20240209;0500121301;1;1
20240210;0500121301;1;1
20240212;0500121301;1;1
20240215;0500121301;1;1
20240216;0500121301;1;1
20240218;0500125502;1;1
20240218;0111000701;1;1
20240220;0500121301;1;1
20240221;0500121301;1;1
20240229;0508063303;1;1
20240304;0508060701;1;1
20240307;0501015801;0;
20240428;0500119103;0;
20240428;0500119203;0;
20240505;0500119103;0;
20240505;0500119203;0;
20240512;0500119103;0;
20240512;0500119203;0;
20240513;0502006502;1;1
20240520;0507002102;1;0
20240605;0507117703;0;
20240612;0507117703;0;
20240614;0507117703;0;
20240614;0101040201;1;0
20240614;0111006203;1;0
20240620;0500125103;1;0
20240629;0500123501;0;
20240704;0507001501;0;
20240706;0111007302;1;0
20240706;0507126202;1;0
20240706;0101040101;1;0
20240706;0111003101;1;0
20240706;0500105403;1;0
20240706;0101040201;1;0
20240706;0111007403;1;0
20240706;0500105503;1;0
20240706;0507126302;1;0
20240706;0111004009;1;0
20240825;0502042701;1;0
20240901;0508061701;1;0
20240909;0501004402;1;1
20240909;0507118102;1;1
20240909;0101379201;1;1
20240909;0101379502;1;1
20240909;0500115102;1;1
20240909;0500129502;1;1
20240909;0508052002;1;1
20240909;0508049502;1;1
20240909;0507125502;1;1
20240909;0507131101;1;1
20240909;0500123402;1;1
20240909;0500115002;1;1
20240909;0502007501;1;1
20240909;0508048501;1;0
20240909;0507116802;1;1
20240909;0508058901;1;1
20240913;0500124903;1;0
20240913;0500125003;1;0
20240913;0101376303;1;0
20240913;0101360903;1;0
20240913;0508056103;1;0
20240913;0507121703;1;0
20240914;0101360903;1;0
20240914;0101376303;1;0
20240914;0507121703;1;0
20240914;0508056103;1;0
20240914;0500125003;1;0
20240914;0500124903;1;0
20240922;0507127702;1;0
20240922;0502007702;1;0
20240928;0101353501;1;0
20240928;0507129502;1;0
20241001;0111007602;1;0
20241005;0500124903;1;0
20241005;0508056103;1;0
20241005;0507121703;1;0
20241005;0101376303;1;0
20241005;0500125003;1;0
20241005;0101360903;1;0
20241006;0502042701;1;0
20241030;0502042601;1;0
20241109;0500124903;1;0
20241109;0508056103;1;0
20241109;0507121703;1;0
20241109;0500125003;1;0
20241109;0101360903;1;0
20241109;0101376303;1;0
20241112;0507129502;1;0
20241114;0507130301;1;0
20241117;0111007502;1;0
20241117;0111003101;1;0
20241117;0111004101;1;0
20241118;0500130601;0;
20241128;0500107802;1;0
20241128;0500107702;1;0
20241128;0500106201;1;0
20241201;0111004101;1;0
20241201;0111003101;1;0
20241201;0111007502;1;0
20241214;0101376303;1;0
20241214;0500124903;1;0
20241214;0101360903;1;0
20241214;0500125003;1;0
20241214;0507121703;1;0
20241214;0508056103;1;0
20241221;0101360903;1;0
20241224;0507119202;1;0
20241228;0111003201;1;0
20241228;0111003001;1;0
20241229;0101359802;1;0
20241229;0101359702;1;0
20241229;0101361401;1;0
20241229;0101344401;1;0
20241229;0101361201;1;0
20241229;0101344501;1;0
20241229;0101380701;1;0
20241230;0500124903;1;0
20241230;0101376303;1;0
20241230;0508056103;1;0
20241230;0507121703;1;0
20241230;0500125003;1;0
20241231;0500109801;1;0
20241231;0500121901;1;0
20241231;0500126101;1;0
20241231;0508040501;1;0
20241231;0507127602;1;0
20241231;0500133601;1;0
20241231;0508061502;1;0
20241231;0508074901;1;0
20241231;0103005304;1;0
20241231;0508059202;1;0
20241231;0500122001;1;0
20241231;0500130402;1;0
20241231;0507124102;1;0
20241231;0507126502;1;0
20241231;0500125702;1;0
20241231;0500125601;1;0
20241231;0500123501;1;0
20241231;0507125201;1;0
20241231;0101384101;1;0
20241231;0507128401;1;0
20241231;0508061901;1;0
20241231;0500123601;1;0
20241231;0507128501;1;0
20241231;0508051101;1;0
20241231;0507129401;1;0
20241231;0508060403;1;0
20241231;0508060302;1;0
20241231;0508058201;1;0
20241231;0507127302;1;0
20241231;0500132401;1;0
20241231;0103004904;1;0
20241231;0101039201;1;0
