cod_via, nome_via
61385, VIA PALMIRO TOGLIATTI
21665, VIA ALCIDE DE GASPERI
60363, VIA DON LUIGI STURZO
42130, VIA PIETRO NENNI
43660, VIA INFERIORE OMETTI
44980, VIA PALLOA
37960, VIA GIUSEPPE MENDOZZA
32100, VIA ISONZO
50720, VIA POSALUNGA
55060, PIAZZA ROTONDA
24041, CORSO EUROPA - Levante - Valle Sturla
24043, CORSO EUROPA - Levante - Nervi - Quinto - S. Ilario
24042, CORSO EUROPA - Levante - Sturla - Quarto
