riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta
461;0507002102;300621;['20231008 rip 0']
462;0507002102;314621;['20240403 rip 0']
463;0507002102;314620;['20240403 rip 0']
464;0507002102;314624;['20240403 rip 0']
465;0507002102;314622;['20240403 rip 0']
466;0507002102;168853;['20240126 rip 0']
467;0507002102;196314;['20240126 rip 0']
468;0507003303;PERCORSO DISATTIVO
469;0507003303;PERCORSO DISATTIVO
470;0507003303;PERCORSO DISATTIVO
471;0507003303;PERCORSO DISATTIVO
472;0507003303;PERCORSO DISATTIVO
473;0507003303;PERCORSO DISATTIVO
474;0507003303;PERCORSO DISATTIVO
475;0507003303;PERCORSO DISATTIVO
476;0507003303;PERCORSO DISATTIVO
477;0507003303;PERCORSO DISATTIVO
478;0507003303;PERCORSO DISATTIVO
479;0507003403;297899;['20230727 rip 0']
480;0507003403;179686;['20230727 rip 0']
481;0507003403;169044;['20230727 rip 0']
482;0507003403;179727;['20230727 rip 0']
483;0507003403;215293;['20230727 rip 0']
484;0507003403;284623;['20230727 rip 0']
485;0507003403;248708;['20230727 rip 0']
486;0507003403;190819;['20230727 rip 0']
487;0507003501;300909;['20231028 rip 0', '20231028 rip 0']
488;0507107203;299681;['20230811 rip 0']
489;0507107203;304121;['20240113 rip 0']
490;0507107203;304120;['20240113 rip 0']
491;0507107203;304116;['20240113 rip 0']
492;0507107402;314968;['20240417 rip 0']
493;0507107402;316175;['20240427 rip 0']
494;0507107402;316170;['20240427 rip 0']
495;0507107402;316172;['20240427 rip 0']
496;0507107402;316173;['20240427 rip 0']
497;0507107402;316174;['20240427 rip 0']
498;0507107402;300596;['20231006 rip 0']
499;0507107402;316166;['20240427 rip 0']
500;0507107603;312696;['20240225 rip 0']
501;0507107603;312697;['20240225 rip 0']
502;0507107603;312698;['20240225 rip 0']
503;0507107603;312699;['20240225 rip 0']
504;0507107603;314450;['20240327 rip 0']
505;0507107603;314451;['20240327 rip 0']
506;0507107603;312523;['20240223 rip 0']
507;0507107603;312525;['20240223 rip 0']
508;0507108403;302044;['20231121 rip 0']
509;0507108403;304101;['20240113 rip 0']
510;0507108403;304102;['20240113 rip 0']
511;0507108403;314396;['20240326 rip 0']
512;0507108403;314397;['20240326 rip 0']
513;0507108603;304021;['20240109 rip 0']
514;0507108603;304129;['20240114 rip 0']
515;0507109402;310119;['20240130 rip 0']
516;0507109402;310138;['20240130 rip 0']
517;0507109402;303597;['20231222 rip 0']
518;0507109402;304381;['20240117 rip 0']
519;0507109402;313568;['20240313 rip 0']
520;0507110301;316221;['20240428 rip 0']
521;0507110301;316217;['20240428 rip 0']
522;0507110301;304106;['20240113 rip 0']
523;0507110601;221133;['20230727 rip 0']
524;0507110601;221134;['20230727 rip 0']
525;0507111701;175065;['20230727 rip 0']
526;0507111701;175828;['20230727 rip 0']
527;0507111701;303426;['20231130 rip 0']
528;0507111701;175826;['20230727 rip 0']
529;0507111701;279240;['20230727 rip 0']
530;0507111701;175827;['20230727 rip 0']
531;0507111701;279241;['20230727 rip 0']
532;0507112102;304085;['20240112 rip 0']
533;0507112102;300927;['20231031 rip 0']
534;0507113502;225157;['20230727 rip 0']
535;0507113502;225158;['20230727 rip 0']
536;0507113502;225164;['20230727 rip 0']
537;0507113502;225163;['20230727 rip 0']
538;0507113901;299875;['20230906 rip 0']
539;0507113901;299601;['20230804 rip 0']
540;0507113901;300915;['20231029 rip 0']
541;0507113901;300921;['20231029 rip 0']
542;0507113901;300920;['20231029 rip 0']
543;0507113901;300919;['20231029 rip 0']
544;0507113901;300918;['20231029 rip 0']
545;0507113901;300917;['20231029 rip 0']
546;0507113901;300916;['20231029 rip 0']
547;0507113901;314769;['20240410 rip 0']
548;0507113901;314770;['20240410 rip 0']
549;0507113901;314768;['20240410 rip 0']
550;0507117703;300923;['20231031 rip 0']
551;0507124403;314964;['20240417 rip 0']
552;0507127502;296955;['20230727 rip 0']
553;0507127502;296956;['20230727 rip 0']
554;0507127502;296978;['20230727 rip 0']
555;0507127502;296979;['20230727 rip 0']
556;0507127502;296984;['20230727 rip 0']
557;0507127502;296989;['20230727 rip 0']
558;0507127502;296990;['20230727 rip 0']
559;0507127502;296994;['20230727 rip 0']
560;0507127502;296967;['20230727 rip 0']
561;0507127502;296966;['20230727 rip 0']
562;0507127502;296960;['20230727 rip 0']
563;0507127502;296972;['20230727 rip 0']
564;0507127502;297008;['20230727 rip 0']
565;0507127502;297007;['20230727 rip 0']
566;0507127502;297015;['20230727 rip 0']
567;0507127502;297014;['20230727 rip 0']
568;0507127502;297051;['20230727 rip 0']
569;0507127502;297055;['20230727 rip 0']
570;0507127502;297063;['20230727 rip 0']
571;0507127502;297064;['20230727 rip 0']
572;0507127502;297062;['20230727 rip 0']
573;0507127502;297106;['20230727 rip 0']
574;0507127502;297110;['20230727 rip 0']
575;0507127502;297118;['20230727 rip 0']
576;0507127502;297119;['20230727 rip 0']
577;0507127502;297114;['20230727 rip 0']
578;0507127502;297130;['20230727 rip 0']
579;0507127502;297123;['20230727 rip 0']
580;0507127502;297134;['20230727 rip 0']
581;0507127502;297148;['20230727 rip 0']
582;0507127502;297147;['20230727 rip 0']
583;0507127502;297138;['20230727 rip 0']
584;0507127502;297142;['20230727 rip 0']
585;0507127502;297864;['20230727 rip 0']
586;0507127502;296883;['20230727 rip 0']
587;0507127502;296935;['20230727 rip 0']
588;0507127502;297047;['20230727 rip 0']
589;0507127502;297210;['20230727 rip 0']
590;0507127502;297211;['20230727 rip 0']
591;0507127502;297216;['20230727 rip 0']
592;0507127502;297220;['20230727 rip 0']
593;0507127502;297225;['20230727 rip 0']
594;0507127502;297226;['20230727 rip 0']
595;0507127502;297257;['20230727 rip 0']
596;0507127502;297258;['20230727 rip 0']
597;0507127502;297263;['20230727 rip 0']
598;0507127502;297687;['20230727 rip 0']
599;0507127502;297269;['20230727 rip 0']
600;0507127502;297268;['20230727 rip 0']
601;0507127502;297334;['20230727 rip 0']
602;0507127502;297333;['20230727 rip 0']
603;0507127502;297341;['20230727 rip 0']
604;0507127502;297340;['20230727 rip 0']
605;0507127502;297346;['20230727 rip 0']
606;0507127502;295964;['20230727 rip 0']
607;0507127502;295968;['20230727 rip 0']
608;0507127502;295973;['20230727 rip 0']
609;0507127502;295974;['20230727 rip 0']
610;0507127502;295959;['20230727 rip 0']
611;0507127502;295710;['20230727 rip 0']
612;0507127502;295695;['20230727 rip 0']
613;0507127502;295702;['20230727 rip 0']
614;0507127502;295701;['20230727 rip 0']
615;0507127502;295706;['20230727 rip 0']
616;0507127502;293511;['20230727 rip 0']
617;0507127502;293523;['20230727 rip 0']
618;0507127502;293515;['20230727 rip 0']
619;0507127502;293617;['20230727 rip 0']
620;0507127502;293519;['20230727 rip 0']
621;0507127502;293621;['20230727 rip 0']
622;0507127502;293625;['20230727 rip 0']
623;0507127502;293641;['20230727 rip 0']
624;0507127502;297374;['20230727 rip 0']
625;0507127502;297364;['20230727 rip 0']
626;0507127502;297365;['20230727 rip 0']
627;0507127502;297369;['20230727 rip 0']
628;0507127502;297378;['20230727 rip 0']
629;0507127502;297384;['20230727 rip 0']
630;0507127502;297383;['20230727 rip 0']
631;0507127502;297389;['20230727 rip 0']
632;0507127502;297390;['20230727 rip 0']
633;0507128501;316570;['20240507 rip 0']
634;0507128501;316569;['20240507 rip 0']
635;0507128501;303489;['20231208 rip 0']
636;0507128801;312751;['20240227 rip 0']
637;0507128801;314802;['20240411 rip 0']
638;0507128903;299993;['20230914 rip 0']
639;0507128903;300244;['20230928 rip 0']
640;0507128903;299965;['20230928 rip 0']
641;0507128903;300240;['20230919 rip 0']
642;0507128903;300413;['20230926 rip 0']
643;0507128903;300412;['20230926 rip 0']
644;0507128903;300429;['20230927 rip 0']
645;0507128903;300569;['20231005 rip 0']
646;0507128903;300474;['20230930 rip 0']
647;0507128903;300478;['20230930 rip 0']
648;0507128903;314616;['20240403 rip 0']
649;0507128903;300486;['20230930 rip 0']
650;0507128903;300485;['20230930 rip 0']
651;0507128903;300504;['20230930 rip 0']
652;0508039403;299896;['20230913 rip 0']
653;0508039403;304020;['20240109 rip 0']
654;0508039403;299934;['20230914 rip 0']
655;0508039501;316215;['20240428 rip 0']
656;0508039501;316216;['20240428 rip 0']
657;0508039501;304136;['20240114 rip 0']
658;0508039501;316220;['20240428 rip 0']
659;0508039501;316219;['20240428 rip 0']
660;0508039501;304105;['20240113 rip 0']
661;0508039501;304132;['20240114 rip 0']
662;0508039501;300924;['20231031 rip 0']
663;0508041801;303974;['20231230 rip 0']
664;0508041801;303915;['20231229 rip 0']
665;0508041801;303976;['20231230 rip 0']
666;0508041801;304020;['20240109 rip 0']
667;0508041801;304072;['20240111 rip 0']
668;0508041801;304019;['20240109 rip 0']
669;0508048501;297714;['20230727 rip 0']
670;0508048501;240883;['20230727 rip 0']
671;0508048501;240931;['20230727 rip 0']
672;0508048501;240914;['20230727 rip 0']
673;0508048501;240920;['20230727 rip 0']
674;0508048501;240927;['20230727 rip 0']
675;0508048501;241554;['20230727 rip 0']
676;0508048501;247755;['20230727 rip 0']
677;0508048501;240888;['20230727 rip 0']
678;0508048501;240901;['20230727 rip 0']
679;0508048501;240895;['20230727 rip 0']
680;0508048501;284571;['20230727 rip 0']
681;0508048501;241499;['20230727 rip 0']
682;0508048501;293183;['20230727 rip 0']
683;0508048501;241659;['20230727 rip 0']
684;0508048501;241152;['20230727 rip 0']
685;0508048501;241153;['20230727 rip 0']
686;0508048501;241133;['20230727 rip 0']
687;0508048501;241001;['20230727 rip 0']
688;0508048501;241000;['20230727 rip 0']
689;0508048501;293717;['20230727 rip 0']
690;0508048501;241457;['20230727 rip 0']
691;0508048501;241008;['20230727 rip 0']
692;0508048501;241481;['20230727 rip 0']
693;0508048501;241308;['20230727 rip 0']
694;0508048501;241306;['20230727 rip 0']
695;0508048501;241307;['20230727 rip 0']
696;0508048501;241563;['20230727 rip 0']
697;0508048501;241700;['20230727 rip 0']
698;0508048501;241297;['20230727 rip 0']
699;0508048501;241298;['20230727 rip 0']
700;0508048501;241299;['20230727 rip 0']
701;0508048501;241296;['20230727 rip 0']
702;0508048501;241669;['20230727 rip 0']
703;0508048501;241750;['20230727 rip 0']
704;0508048501;241751;['20230727 rip 0']
705;0508048501;241270;['20230727 rip 0']
706;0508048501;240947;['20230727 rip 0']
707;0508048501;247763;['20230727 rip 0']
708;0508048501;241252;['20230727 rip 0']
709;0508048501;241264;['20230727 rip 0']
710;0508048501;241391;['20230727 rip 0']
711;0508048501;241494;['20230727 rip 0']
712;0508048501;240940;['20230727 rip 0']
713;0508048501;241248;['20230727 rip 0']
714;0508048501;241339;['20230727 rip 0']
715;0508048501;241280;['20230727 rip 0']
716;0508048501;241334;['20230727 rip 0']
717;0508048501;241512;['20230727 rip 0']
718;0508048501;241511;['20230727 rip 0']
719;0508048501;241648;['20230727 rip 0']
720;0508048501;241757;['20230727 rip 0']
721;0508048501;241351;['20230727 rip 0']
722;0508048501;241346;['20230727 rip 0']
723;0508048501;241357;['20230727 rip 0']
724;0508048501;240847;['20230727 rip 0']
725;0508048501;240869;['20230727 rip 0']
726;0508058003;314965;['20240417 rip 0']
727;0508059102;299580;['20230730 rip 0']
728;0508059102;310689;['20240203 rip 0']
729;0508060701;303490;['20231208 rip 0']
730;0508OM4901;312615;['20240224 rip 0']
731;0508OM5802;314585;['20240330 rip 0']
732;0508OM5802;314584;['20240330 rip 0']
733;0508OM6201;300868;['20231027 rip 0']
734;0508OM6201;300869;['20231027 rip 0']
735;0508OM6201;301059;['20231104 rip 0']
