riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta
884;0502041101;315365;['20240423 rip 0']
885;0502041101;315384;['20240423 rip 0']
886;0502041101;315383;['20240423 rip 0']
887;0502041101;315378;['20240423 rip 0']
888;0502041101;315380;['20240423 rip 0']
889;0502041101;315381;['20240423 rip 0']
890;0502041101;315385;['20240423 rip 0']
891;0502041101;315390;['20240423 rip 0']
892;0502041101;315391;['20240423 rip 0']
893;0502041101;315392;['20240423 rip 0']
894;0507133801;316402;['20240503 rip 0']
895;0507133801;316435;['20240503 rip 0']
896;0500132702;211060;['20240505 rip 0']
