riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta;data_fine_corretta
1;0101010601;305118;20240125;99991231
2;0101010601;305118;;
3;0101010601;146555;20240328;99991231
4;0101010601;146555;;
5;0101031701;304083;20240112;99991231
6;0101031701;304083;;
7;0101031701;304124;20240114;20240612
8;0101031701;304124;;
9;0101031901;312265;20240221;99991231
10;0101031901;312265;;
11;0101031901;312266;20240221;99991231
12;0101031901;312266;;
13;0101032903;312247;20240221;99991231
14;0101032903;312247;;
15;0101032903;312248;20240221;99991231
16;0101032903;312248;;
17;0101034202;300597;20231006;99991231
18;0101034202;300597;;
19;0101034202;314296;20240323;99991231
20;0101034202;314296;;
21;0101034202;300634;20231013;99991231
22;0101034202;300634;;
23;0101034202;300638;20231013;99991231
24;0101034202;300638;;
25;0101034202;314359;20240324;99991231
26;0101034202;314359;;
27;0101034202;300617;20231007;99991231
28;0101034202;300617;;
29;0101038401;301576;20231109;99991231
30;0101038401;301576;;
31;0101039401;151141;20240413;99991231
32;0101039401;151141;;
33;0101040503;314915;20240416;99991231
34;0101040503;314915;;
35;0101040503;299877;20230909;99991231
36;0101040503;299877;;
37;0101354603;316222;20240428;99991231
38;0101354603;316222;;
39;0101354603;316218;20240428;99991231
40;0101354603;316218;;
41;0101354603;300645;20231014;99991231
42;0101354603;300645;;
43;0101354603;280299;20231121;99991231
44;0101354603;280299;;
45;0101354603;280300;20231121;99991231
46;0101354603;280300;;
47;0101354603;280301;20231121;99991231
48;0101354603;280301;;
49;0101360001;313255;20240305;99991231
50;0101360001;313255;;
51;0101360101;313217;20240305;99991231
52;0101360101;313217;;
53;0101360502;168061;20231130;99991231
54;0101360502;168061;20231130;99991231
55;0101360502;215808;20230727;99991231
56;0101360502;215808;20230727;99991231
57;0101360502;175160;20230727;99991231
58;0101360502;175160;20230727;99991231
59;0101360502;175161;20230727;99991231
60;0101360502;175161;20230727;99991231
61;0101360502;175063;20230727;99991231
62;0101360502;175063;20230727;99991231
63;0101360802;313228;20240305;99991231
64;0101360802;313228;20240305;99991231
65;0101360802;313228;20240305;99991231
66;0101360802;313228;20240305;99991231
67;0101360903;215808;20230727;99991231
68;0101360903;215808;20230727;99991231
69;0101360903;175160;20230727;99991231
70;0101360903;175160;20230727;99991231
71;0101360903;175161;20230727;99991231
