riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta
2;0101032903;312249;[20240221]
3;0101363801;312949;[20240228]
4;0101364003;300935;[20230727, 20231101]
5;0101364003;300932;[20230727, 20231031]
6;0201010301;1557240004;[20230727]
7;0201010301;1548880006;[20230727]
8;0201010301;1548880007;[20230727]
9;0201010301;1556740007;[20230727]
10;0201010301;1556740006;[20230727]
11;0201010301;1553140001;[20230727]
12;0201010301;1553140002;[20230727]
13;0201010301;1553140003;[20230727]
14;0201010301;1553140006;[20230727]
15;0201010301;1553140005;[20230727]
16;0201010301;1553140004;[20230727]
17;0201010301;1554920001;[20230727]
18;0201010301;1554920002;[20230727]
19;0201010301;1554920003;[20230727]
20;0201010301;1554920004;[20230727]
21;0201010301;1554920011;[20230727]
22;0201010301;1536160007;[20230727]
23;0201010301;1536160006;[20230727]
24;0201010301;1536160005;[20230727]
25;0201010301;1536160004;[20230727]
26;0201010301;1536160003;[20230727]
27;0201010301;1536160013;[20230727]
28;0201010301;1536160016;[20230727]
29;0201010301;1536160012;[20230727]
30;0201010301;1536160015;[20230727]
31;0201010301;1536160011;[20230727]
32;0201010301;1536160014;[20230727]
33;0201010301;1536160002;[20230727]
34;0201010301;1536160010;[20230727]
35;0201010301;1536160001;[20230727]
36;0201010301;1536160008;[20230727]
37;0201010301;1532330001;[20230727]
38;0201010301;1532330007;[20230727]
39;0201010301;1532330002;[20230727]
40;0201010301;1532330004;[20230727]
41;0201010301;1532330008;[20230727]
42;0201010301;1532330003;[20230727]
43;0201010301;1547160002;[20230727]
44;0201010301;1547160003;[20230727]
45;0201010301;1547160004;[20230727]
46;0201010301;1547160007;[20230727]
47;0201010301;1547160005;[20230727]
48;0201010301;1547160001;[20230727]
49;0201010301;1508060019;[20230727]
50;0201010301;1508060006;[20230727]
51;0201010301;1508060018;[20230727]
52;0201010301;1508060013;[20230727]
53;0201010301;1508060012;[20230727]
54;0201010301;1508060005;[20230727]
55;0201010301;1508060004;[20230727]
56;0201010301;1508060011;[20230727]
57;0201010301;1508060015;[20230727]
58;0201010301;1508060003;[20230727]
59;0201010301;1508060002;[20230727]
60;0201010301;1508060010;[20230727]
61;0201010301;1508060009;[20230727]
62;0201010301;1508060008;[20230727]
63;0201010301;1508060014;[20230727]
64;0201010301;1508060001;[20230727]
65;0201010301;1508060007;[20230727]
66;0201010301;1508000003;[20230727]
67;0201010301;1508000009;[20230727]
68;0201010301;1508000008;[20230727]
69;0201010301;1508000010;[20230727]
70;0201010301;1508000002;[20230727]
71;0201010301;1508000007;[20230727]
72;0201010301;1508000006;[20230727]
73;0201010301;1508000005;[20230727]
74;0201010301;1508000001;[20230727]
75;0201010301;1508000004;[20230727]
76;0201010301;1501370001;[20230727]
77;0201010301;1502220001;[20230727]
78;0201010301;1563820012;[20230727]
79;0201010301;1563820011;[20230727]
80;0201010301;1563820016;[20230727]
81;0201010301;1563820014;[20230727]
82;0201010301;1563820015;[20230727]
83;0201010301;1563820013;[20230727]
84;0201010301;1563820010;[20230727]
85;0201010301;1563820017;[20230727]
86;0201010301;1563820002;[20230727]
87;0201010301;1563820008;[20230727]
88;0201010301;1563820003;[20230727]
89;0201010301;1563820001;[20230727]
90;0201010301;1563820005;[20230727]
91;0201010301;1563820004;[20230727]
92;0201010301;1563820009;[20230727]
93;0201010301;1563820006;[20230727]
94;0201010301;1463820013;[20230727]
95;0201010301;1463820012;[20230727]
96;0201010301;1547160010;[20230727]
97;0201010301;1553140007;[20230727]
98;0201010301;1553140008;[20230727]
99;0201010301;1554920005;[20230727]
100;0201010301;1502220002;[20230727]
101;0201010301;1501370002;[20230727]
102;0201250501;3170375589;[20230727]
103;0201250501;3170375572;[20230727]
104;0201250501;3170375591;[20230727]
105;0201250501;3170375581;[20230727]
106;0201250501;3170374756;[20230727]
107;0201250501;3170374757;[20230727]
108;0201250501;3170374758;[20230727]
109;0201250501;3170374754;[20230727]
110;0201250501;3170374679;[20230727]
111;0201250501;3170374678;[20230727]
112;0201250501;3170374589;[20230727]
113;0201250501;3170374501;[20230727]
114;0201250501;3170375592;[20230727]
115;0201250501;3170375584;[20230727]
116;0201250501;3170375609;[20230727]
117;0201250501;3170375583;[20230727]
118;0201250501;3170375582;[20230727]
119;0201250501;3170375585;[20230727]
120;0201250501;3170374574;[20230727]
121;0201250501;3170374500;[20230727]
122;0201250501;3170374675;[20230727]
123;0201250501;3170374570;[20230727]
124;0201250501;3170374676;[20230727]
125;0201250501;3170374479;[20230727]
126;0201250501;3170374624;[20230727]
127;0201250501;3170374625;[20230727]
128;0201250501;3170374605;[20230727]
129;0201250501;3170375590;[20230727]
130;0201250501;3170374593;[20230727]
131;0203008701;1260420001;[20240116]
132;0507117703;300923;[20230727, 20231031]
133;0507117703;301632;[20231115]
134;0507117703;314659;[20240405]
135;0508050603;314658;[20240405]
136;0508050603;310755;[20240209]
137;0507129401;304465;[20230926, 20240120]
